Month;"Avg. Players";Gain;"% Gain";Peak Players;Game;Hours Played;Incremento;
12-19;456701.6;30620.8;7.19;767060;Counter-Strike: Global Offensive;371.258.142;si;
11-19;426080.8;17085.5;4.18;758412;Counter-Strike: Global Offensive;371.256.918;si;
10-19;408995.3;-1930.3;-0.47;747937;Counter-Strike: Global Offensive;371.255.585;si;
09-19;410925.6;-4171.7;-0.01;720052;Counter-Strike: Global Offensive;371.254.301;si;
08-19;415097.3;21314.5;5.41;647461;Counter-Strike: Global Offensive;371.252.950;si;
07-19;393782.8;4406.1;1.13;578933;Counter-Strike: Global Offensive;371.251.607;no;
06-19;389376.7;24959.4;6.85;587724;Counter-Strike: Global Offensive;371.250.278;no;
05-19;364417.3;12427.4;3.53;588453;Counter-Strike: Global Offensive;371.248.972;no;
04-19;351989.9;-38250.2;-9.8;621614;Counter-Strike: Global Offensive;371.247.491;no;
03-19;390240.2;18881.2;5.08;680071;Counter-Strike: Global Offensive;371.245.996;si;
02-19;371359;-30007.9;-7.48;654069;Counter-Strike: Global Offensive;371.244.671;no;
01-19;401366.9;5857.6;1.48;684511;Counter-Strike: Global Offensive;371.243.401;no;
12-18;395509.3;85423.8;27.55;746548;Counter-Strike: Global Offensive;371.242.024;si;
11-18;310085.4;-15822.4;-4.85;546031;Counter-Strike: Global Offensive;371.240.541;no;
10-18;325907.8;-7256.2;-2.18;565968;Counter-Strike: Global Offensive;371.239.228;no;
09-18;333164;49632.7;17.51;583029;Counter-Strike: Global Offensive;371.237.912;si;
08-18;283531.3;10224;3.74;454370;Counter-Strike: Global Offensive;371.236.633;si;
07-18;273307.3;6445;2.42;426008;Counter-Strike: Global Offensive;371.235.282;si;
06-18;266862.2;4691.4;1.79;420261;Counter-Strike: Global Offensive;371.233.862;no;
05-18;262170.9;-26905.8;-9.31;454481;Counter-Strike: Global Offensive;371.232.456;no;
04-18;289076.7;-65193.6;-18.4;523262;Counter-Strike: Global Offensive;371.231.190;no;
03-18;354270.3;-28186.8;-7.37;672502;Counter-Strike: Global Offensive;371.229.980;no;
02-18;382457.1;426.6;0.11;686588;Counter-Strike: Global Offensive;371.228.703;no;
01-18;382030.5;41153.7;12.07;715850;Counter-Strike: Global Offensive;371.227.444;si;
12-17;340876.9;19745.5;6.15;598405;Counter-Strike: Global Offensive;371.225.989;no;
11-17;321131.4;-20729.9;-6.06;601881;Counter-Strike: Global Offensive;371.224.600;no;
10-17;341861.3;-12540.8;-3.54;639968;Counter-Strike: Global Offensive;371.223.268;no;
09-17;354402.1;-20023.6;-5.35;665371;Counter-Strike: Global Offensive;371.222.026;si;
08-17;374425.7;-3163.3;-0.84;595781;Counter-Strike: Global Offensive;371.220.577;no;
07-17;377589;3201;0.85;624785;Counter-Strike: Global Offensive;371.219.146;si;
06-17;374388;2558.7;0.69;614621;Counter-Strike: Global Offensive;371.217.889;no;
05-17;371829.3;-20369.8;-5.19;692966;Counter-Strike: Global Offensive;371.216.428;no;
04-17;392199.2;5290.5;1.37;709841;Counter-Strike: Global Offensive;371.215.210;no;
03-17;386908.7;-15477;-3.85;742356;Counter-Strike: Global Offensive;371.213.851;no;
02-17;402385.7;9276.2;2.36;744468;Counter-Strike: Global Offensive;371.212.631;no;
01-17;393109.5;50913.8;14.88;814616;Counter-Strike: Global Offensive;371.211.332;si;
12-16;342195.7;13150.4;0.04;662460;Counter-Strike: Global Offensive;371.209.965;si;
11-16;329045.3;-4031.2;-1.21;627124;Counter-Strike: Global Offensive;371.208.656;no;
10-16;333076.5;10550.6;3.27;661985;Counter-Strike: Global Offensive;371.207.161;si;
09-16;322525.9;-24703.4;-7.11;638360;Counter-Strike: Global Offensive;371.205.748;si;
